record_id,product_ndc,generic_name,labeler_name,brand_name,marketing_category,dosage_form,spl_id,product_type,product_id,application_number,brand_name_base,active_ingredient_name,active_ingredient_strength,route,pharm_class,package_ndc,description,marketing_start_date,listing_expiration_date,sample,finished
1,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
2,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
3,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
4,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
5,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
6,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
7,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
8,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
9,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-04,4 KIT in 1 CARTON (0074-0124-04)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,2/24/2021,12/31/2025,FALSE,TRUE
10,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
11,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
12,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
13,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
14,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
15,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
16,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
17,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
18,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
19,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
20,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
21,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
22,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
23,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
24,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
25,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
26,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
27,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
28,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
29,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-03,3 KIT in 1 CARTON (0074-0124-03)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
30,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-74,1 KIT in 1 CARTON (0074-0124-74)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,TRUE,TRUE
31,0074-0124,Adalimumab,AbbVie Inc.,Humira,BLA,KIT,c8f3937d-66ea-4bdb-b502-fcb33594c8b3,HUMAN PRESCRIPTION DRUG,0074-0124_c8f3937d-66ea-4bdb-b502-fcb33594c8b3,BLA125057,Humira,,,,,0074-0124-01,1 KIT in 1 CARTON (0074-0124-01)  / 1 KIT in 1 KIT *  1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE *  1 mL in 1 PACKET,4/21/2017,12/31/2025,FALSE,TRUE
