fda_id,Drug Name,Active Ingredients,Strength,Dosage Form/Route,Route,Marketing Status,TE Code,RLD,RS,Action Date,Submission,Action Type
1,ABRILADA,ADALIMUMAB-AFZB,40MG/0.8ML,INJECTABLE,INJECTION,Prescription,None,No,No,11/15/2019,ORIG-1,Approval
2,ABRILADA,ADALIMUMAB-AFZB,20MG/0.4ML,INJECTABLE,INJECTION,Prescription,None,No,No,11/15/2019,ORIG-1,Approval
3,ABRILADA,ADALIMUMAB-AFZB,10MG/0.2ML,INJECTABLE,INJECTION,Prescription,None,No,No,11/15/2019,ORIG-1,Approval
4,AMJEVITA,ADALIMUMAB-ATTO,20MG/0.4ML,INJECTABLE,INJECTION,Prescription,None,No,No,9/23/2016,ORIG-1,Approval
5,AMJEVITA,ADALIMUMAB-ATTO,40MG/0.8ML,INJECTABLE,INJECTION,Prescription,None,No,No,9/23/2016,ORIG-1,Approval
6,CYLTEZO,ADALIMUMAB-ADBM,40MG/0.8ML,INJECTABLE,INJECTION,Prescription,None,No,No,8/25/2017,ORIG-1,Approval
7,HADLIMA,ADALIMUMAB-BWWD,40MG/0.8ML,INJECTABLE,INJECTION,Prescription,None,No,No,7/23/2019,ORIG-1,Approval
8,HULIO,ADALIMUMAB-FKJP,20MG;0.4ML,INJECTABLE,INJECTION,Prescription,None,No,No,7/6/2020,ORIG-1,Approval
9,HUMIRA,ADALIMUMAB,40MG/0.8ML,SYRINGE,SUBCUTANEOUS,Prescription,None,No,No,12/31/2002,ORIG-1,Approval
10,HUMIRA,ADALIMUMAB,40MG/0.8ML,VIAL,INJECTION,Prescription,None,No,No,12/31/2002,ORIG-1,Approval
11,HYRIMOZ,ADALIMUMAB-ADAZ,40MG/0.8ML,INJECTABLE,INJECTION,Prescription,None,No,No,10/30/2018,ORIG-1,Approval
12,IDACIO,ADALIMUMAB-AACF,40MG/0.8ML,INJECTABLE,SUBCUTANEOUS,Prescription,None,No,No,1/5/2024,ORIG-2,Approval
13,IDACIO,ADALIMUMAB-AACF,40MG/0.8ML,INJECTABLE,SUBCUTANEOUS,Prescription,None,No,No,12/13/2022,ORIG-1,Approval
14,SIMLANDI,ADALIMUMAB-RYVK,40MG/0.4ML,INJECTABLE,INJECTION,Prescription,None,No,No,2/23/2024,ORIG-1,Approval
15,YUFLYMA,ADALIMUMAB-AATY,40MG/0.4ML,INJECTABLE,INJECTION,Prescription,None,No,No,5/23/2023,ORIG-1,Approval
16,YUSIMRY,ADALIMUMAB-AQVH,40MG,INJECTABLE,INJECTION,Prescription,None,No,No,12/17/2021,ORIG-1,Approval
