ndc_code,brand,strength,dosage
0025-0325-01,ABRILADA,40MG/0.8ML,INJECTABLE
0025-0333-02,ABRILADA,20MG/0.4ML,INJECTABLE
0025-0333-03,ABRILADA,10MG/0.2ML,INJECTABLE
55513-411,AMJEVITA,20MG/0.4ML,INJECTABLE
55513-399,AMJEVITA,40MG/0.8ML,INJECTABLE
0597-0495,CYLTEZO,40MG/0.8ML,SYRINGE
50090-6704,HADLIMA,40MG/0.8ML,INJECTABLE
49502-381,HULIO,20MG;0.4ML,INJECTABLE
50090-6705,HUMIRA,40MG/0.8ML,VIAL
0074-0124,HUMIRA,40MG/0.8ML,SYRINGE
83457-102,HYRIMOZ,40MG/0.8ML,INJECTABLE
65219-554,IDACIO,40MG/0.8ML,INJECTABLE
65219-556,IDACIO,40MG/0.8ML,INJECTABLE
51759-402,SIMLANDI,40MG/0.4ML,INJECTABLE
 72606-023-04,YUFLYMA,40MG/0.4ML,INJECTABLE
 70114-210,YUSIMRY,40MG,INJECTABLE
